dolnośląskie,kujawsko-pomorskie,lubelskie,lubuskie,mazowieckie,małopolskie,opolskie,podkarpackie,podlaskie,pomorskie,warmińsko-mazurskie,wielkopolskie,zachodniopomorskie,łódzkie,śląskie,świętokrzyskie
3735.0,2850.0,2940.0,2953.0,3703.0,4202.0,2874.0,2978.0,2885.0,4905.0,3796.0,2925.0,4709.0,2812.0,3207.0,2803.0
8.86,8.88,8.93,8.64,8.61,9.01,8.73,9.11,9.03,8.84,9.1,8.73,8.72,8.62,8.91,9.05
9.05,9.09,9.16,9.09,8.93,9.12,9.02,9.25,9.19,8.99,9.22,9.07,8.96,8.96,9.11,9.23
