Bydgoszcz,Gdańsk,Gliwice,Jelenia,Kraków,Lublin,Nowy,Olsztyn,Opole,Przemyśl,Sandomierz,Sanok,Szczecin,Toruń,Wadowice,Warszawa,Wrocław,Zamość,Zielona,Łódź
2525.0,3954.0,2726.0,2564.0,3973.0,2823.0,2608.0,3104.0,2695.0,2424.0,2793.0,2411.0,3091.0,2731.0,3103.0,3131.0,3547.0,2816.0,2807.0,2569.0
8.85,8.95,9.04,9.31,8.77,8.82,9.43,9.17,8.75,9.2,9.17,9.09,8.8,8.99,9.14,8.71,8.68,9.21,8.92,8.58
9.03,9.2,9.26,9.42,9.07,9.1,9.51,9.37,8.98,9.34,9.28,9.36,9.16,9.16,9.35,9.13,9.12,9.32,9.22,9.06
