Bydgoszcz,Gdańsk,Gliwice,Jelenia,Kraków,Lublin,Nowy,Olsztyn,Opole,Przemyśl,Sandomierz,Sanok,Szczecin,Toruń,Wadowice,Warszawa,Wrocław,Zamość,Zielona,Łódź
2872.0,4504.0,3189.0,2914.0,4451.0,3090.0,3038.0,3358.0,2988.0,2797.0,3108.0,2656.0,3340.0,3044.0,3614.0,3429.0,4186.0,3077.0,2994.0,3246.0
8.9,8.97,9.05,9.35,8.78,8.91,9.41,9.22,8.83,9.18,9.2,9.13,8.79,8.99,9.15,8.73,8.67,9.14,8.92,8.7
9.05,9.21,9.28,9.47,9.08,9.15,9.52,9.36,9.0,9.36,9.33,9.39,9.13,9.17,9.31,9.11,9.1,9.32,9.19,9.06
