dolnośląskie,kujawsko-pomorskie,lubelskie,lubuskie,mazowieckie,małopolskie,opolskie,podkarpackie,podlaskie,pomorskie,warmińsko-mazurskie,wielkopolskie,zachodniopomorskie,łódzkie,śląskie,świętokrzyskie
4147.0,3294.0,3289.0,3347.0,4110.0,4695.0,3280.0,3365.0,3184.0,5220.0,4138.0,3351.0,5201.0,3210.0,3693.0,3179.0
8.86,8.88,8.96,8.66,8.55,9.0,8.76,9.12,9.07,8.84,9.07,8.73,8.69,8.65,8.94,9.1
9.03,9.09,9.19,9.1,8.92,9.12,9.0,9.24,9.22,9.02,9.22,9.05,8.97,9.02,9.12,9.25
