dolnośląskie,kujawsko-pomorskie,lubelskie,lubuskie,mazowieckie,małopolskie,opolskie,podkarpackie,podlaskie,pomorskie,warmińsko-mazurskie,wielkopolskie,zachodniopomorskie,łódzkie,śląskie,świętokrzyskie
2266.0,1962.0,2107.0,1913.0,2341.0,2484.0,1723.0,2036.0,1999.0,3259.0,2649.0,1886.0,3280.0,1785.0,2066.0,1880.0
8.84,8.88,8.99,8.71,8.59,8.98,8.72,9.07,9.01,8.83,9.06,8.76,8.67,8.68,8.91,9.06
9.03,9.11,9.19,9.16,8.89,9.11,9.01,9.24,9.18,8.98,9.19,9.04,8.96,9.04,9.09,9.25
